index,review_title,overall_rating,review_text,recommends,pros,cons,experience,shift
670,Good place to work.,Recommends,Approves of CEO,I have been working at this company full-time for more than 3 years,Work life balance and good career opportunities.,No cons as such for a fresher.,4,Full-Time
671,Great Company to work,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Good Management
If you get good project learning scope is good.",If you get into bad project. Career graph might get stuck,2,Full-Time
672,Best place to work,Recommends,Positive Outlook,I have been working at this company full-time,Equal opportunities and good recognition,No Cons as of now,5,Full-Time
673,Flexible work environment,Disapproves of CEO,No Opinion of CEO,I worked at this company full-time for more than a year,No work pressure in my project,Need much support from managers.,2,Full-Time
674,Poor promotion and job retention criteria used,Recommends,Positive Outlook,I have been working at this company full-time for more than 10 years,"Can move across roles, efficient process and project management","1. One bad year or poor luck with role opportunities, and you would lose your job, even if you had been totally brilliant for a zillion years in this company before. Doesn't consider past performance, so a bit inhuman here to layoff instead of reduce compensation. It doesn't help retaining good talent for long run.
2. Role advancements criteria - depth and breadth of experience not considered, focusses only on current year's comparative performance results. 
3. Women still not considered for technical roles easily and get pushed to non-technical and admin type of roles, not supported. Need to stay doing crazy roles and prove to get considered for key or technical roles. But this is probably across the industry, not just at this company.",12,Full-Time
675,Sap consultant,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,Work culture is very good. Colleagues are great.,Too much work and long working hours,4,Full-Time
676,It's okay to start with but bad place if you in internal project,Doesn't Recommend,Negative Outlook,I worked at this company full-time for more than 3 years,"Good for consistency sake
Good for someone looking for a start","No great development projects
More or less support or internal project
Bad staffing 
Impossible to get client side once drafted into internal project 
Poor work to life balance 
Very minimal span of growth",4,Full-Time
677,Is a good company to start with if you don't know anything about the functioning of the IT industry,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"this company has a number of projects working on numerous technologies - something for everyone.
Has development (software dev) work as opposed to what major IT giants are famous for.","If you are interest in conceptual work. This is not for you.
A lot of drag and drop keeps happening which makes the work redundant and thus boring.",2,Full-Time
678,Work Hours and job description,Recommends,Positive Outlook,I worked at this company full-time for more than a year,the firm is very reputed and work hours are commendable,There were no such cons,2,Full-Time
679,Work Experience is good,Recommends,Neutral Outlook,I have been working at this company full-time,Get opportunity to work with good client,Sometimes for recognition they expect more than what you have and lot of injustice.,5,Full-Time
680,Tester,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Very friendly environment to work,Hike will be gradual. Only for fresher's,2,Full-Time
681,Average service company,Doesn't Recommend,Neutral Outlook,I worked at this company full-time for more than 3 years,"General services company, good to start career with",too much work pressure here,4,Full-Time
682,Ok,No Opinion of CEO,Negative Outlook,I worked at this company full-time,"Good campus in Bangalore, Karnataka","Strict timings, causing stress due to time spent at work",4,Full-Time
683,IT,Recommends,Neutral Outlook,I worked at this company full-time for less than a year,"Equality, diversity, innovation, Opportunities, Management",Takes little time to settle,1,Full-Time
684,Amazing Experience,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"- perfect work-life balance
- huge learning paths
- focus on self-development
- A* clients
- stakeholder experience","- onsite opportunities are less
- transitioning from one role to another is too much difficult",4,Full-Time
685,Opportunity,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Company care about employees a lot,No growth opportunity if you joined as an agent,2,Full-Time
686,Great MNC to work,Recommends,Positive Outlook,I worked at this company full-time,"Technical Projects, Scope of work, Good packages, Flexible timings, Career growth",Nothing that i've seen so far,4,Full-Time
687,Good place to work,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Lots of learning opportunity and good place to grow in your career,Work life balance is not good,2,Full-Time
688,Pros are definitely more than the cons,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"1) Flexible work culture ( depends on project and team ofcourse)
2) Too much emphasis on training and upskilling ( free certification vouchers)
3) Growing inside and changing your domain is also not very hard
4) Large employee base 
5) Connecting with peers of the domain you want to get into , is easy
6) Less bias wrt gender/race/caste/religion/orientation etc
7) Women employee percentage is same as male percentage","1) Extra perks are not for everyone due to large employee base
2) performance bonus /variable bonus percentage is too high ( cant include in ctc)
3) HR processes are too slow (recruitment specially)
4) Random Appreciations/ project completion certificates / company trips are rare",2,Full-Time
689,Cloud computing and cloud automation related technologies,Recommends,Neutral Outlook,I worked at this company full-time for more than 3 years,"AWS Cloud computing and cloud automation related technologies. Seeking a Technical position fully utilizing strong customer service attitude, exceptional organizational ability and technical skills.",Senior management should be supportive for all the members in team but not for some.,4,Full-Time
690,Great place to work,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,Good learning and reskilling opportunities. Good career opportunities. Pay is good,No specific cons. Annual hikes are good in consulting but average in technology,4,Full-Time
691,Company that cares,Recommends,Positive Outlook,I have been working at this company full-time for more than 10 years,great learning - people - culture - flexibility,long working hours can be stressful and impact work life balance at times,12,Full-Time
692,Good company. Good work culture,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Flexible work hours
Good management
work life balance",There are no cons as such,4,Full-Time
693,Best company to work for,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Great exposure, Superb learning, New Technologies","Shared Model, Nothing else, ITs great",4,Full-Time
694,Perfect company to b in,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work life balance + paymaster,Growth is slow. This is my pov.,6,Full-Time
695,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Leave and WFH and Leave and WFH,Salary Hike Salary Hike Salary Hike,2,Full-Time
696,"Good environment, good culture, great tools",Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Great team, startup setup, home office","relocation not possible, scrum not properly followed",4,Full-Time
697,UCCE,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,Good culture and care for employee,Work Load is too high,4,Full-Time
698,Should not be the first company,Positive Outlook,Approves of CEO,I worked at this company full-time,"Less work load, good work life balance",hike is totally depends on your managers personal reviews for you not on your performance,4,Full-Time
699,Conversion,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time,There is conversion based on experience,Am nit happy with the HRs in this company,5,Full-Time
700,Should not be the first company,Approves of CEO,Negative Outlook,I worked at this company full-time,"Less work load, good work life balance",hike is totally depends on your managers personal reviews for you not on your performance,4,Full-Time
701,Conversion,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time,There is conversion based on experience,Am nit happy with the HRs in this company,5,Full-Time
702,Promotion and Hikes,Doesn't Recommend,Positive Outlook,I have been working at this company full-time for more than 3 years,If you are good and focused in your team you will get promotion,Politics and Women has more preference in This company,4,Full-Time
703,Good,Recommends,Positive Outlook,I worked at this company full-time for less than a year,Good environment for the employees,Nothing as such to mention in particular,1,Full-Time
704,Recently joined,Recommends,Approves of CEO,I have been working at this company full-time,need to explore more as i have joined recently,nothing as of now as im a new joiner,5,Full-Time
705,Software Engineer at this company,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good to work with them,As such no cons I learned a lot,2,Full-Time
706,Best place to work for Women,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"- Culture
- Flexibility
- People
- Infrastructure",None I could think of,6,Full-Time
707,Good Company,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"encouragement, new learning, innovation, carrying","In my view, there are no Cons from Company",6,Full-Time
708,Best Company,Doesn't Recommend,No Opinion of CEO,I have been working at this company full-time,Everything good is there in the Company,Some times your Manager does micro management,5,Full-Time
709,Job excellent super super super,No Opinion of CEO,Neutral Outlook,I have been working at this company full-time for more than a year,Job excellent super super super,Excellent work life balance but heavy work,2,Full-Time
710,Salary,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Employee benefits are very good,Totally manager dependent and work env depends on project and teammates,2,Full-Time
711,.....,Recommends,Approves of CEO,I have been working at this company full-time,"Good company to work with
Very good culture
Will have space for our passions",Internal politics will be there,5,Full-Time
712,this company is very good service based company,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"good work life balance, very good clients to work with",There are no cons as such,4,Full-Time
713,Best Place to Learn,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Freedom to share opinions and exposure to execute ideas,Nothing so far observed during my tenure,6,Full-Time
714,Probably the best consulting firm to work for in India,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Relatively better work life balance (compared to say a BCG or McK); great place to learn Digital; excellent quality of people,No real cons when compared to other consulting firms.,4,Full-Time
715,this company Work Environment,Negative Outlook,Negative Outlook,I have been working at this company full-time,Challenging work environment and scope for supporting multiple global clients,None to highlight . . . .,5,Full-Time
716,AVG Company,No Opinion of CEO,Neutral Outlook,I worked at this company full-time for more than a year,"work-life balance is good, you will get the opportunity to work on technology",HR policy & politics is not an employee friendly,2,Full-Time
717,Good,Negative Outlook,Positive Outlook,I have been working at this company full-time,It is very good company to start the carrier,I don't have any bad experience with this company.,5,Full-Time
718,Great for growth,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,The best for growth in the company,Maximum working hours is the only con,4,Full-Time
719,this company,No Opinion of CEO,Negative Outlook,I have been working at this company full-time,Depends on the project you are assigned.,The older leadership fails to understand the necessity of the modern digital technologies. All the talk about newer digital technologies is only for training sake.,5,Full-Time
720,ASE,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good to Work company present,Lots of learning in the company,2,Full-Time
721,Good salary,No Opinion of CEO,Negative Outlook,I have been working at this company full-time for less than a year,"Friendly people , Helpful team leads, Good work life balance",I haven't find any flaws till now,1,Full-Time
722,Great Place to work,Recommends,Neutral Outlook,I worked at this company full-time for less than a year,"Great opportunities to work, Versatility to work with different teams.",Multiple working shifts to deal with.,1,Full-Time
723,Work experience,Recommends,Positive Outlook,I have been working at this company full-time,"Nice , Good hikes, Nice projects , growth opportunities , Good overall","Micro management , Switching projects is tough , nothing more",5,Full-Time
724,Good,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Nice work culture depends on project,Hike is less even if you are performing good,4,Full-Time
725,Good,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,good to start your career,"Bench , more support project",4,Full-Time
726,this company review,Recommends,Neutral Outlook,I have been working at this company full-time for more than 8 years,Great company. Good values. Client centric.,Management not so good. Manager/Senior manager is the boss.,9,Full-Time
727,Great company slowly wasted by Indian execs from Infosys having bad work culture ethics,Recommends,No Opinion of CEO,I have been working at this company full-time for more than 10 years,"Good paymaster, focusses on process, global paymaster.","Less onsite, was great before 2010, now its getting similar to other Indian companies with not so great work culture due to execs from infosys etc. who just focus on profits and own benefits and not the employees. Also the performance process updated is and will be the worst thing for employees, gives all power to managers. So you can guess only benefitting are people ""close"" to the managers, thats the bottom line.",12,Full-Time
728,One of the best consulting companies in the world is losing its charm.,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"1. One of the best consulting companies in the world
2. Diamond partner for top & fortune 500 companies 
3. World class training material
4. Focus on Automation & Innovation
5. Focus on upskilling of employees by providing free trainings and professional certifications to employees.
6.Reservation for women in promotions
7.Loads of travel opportunities (depending on projects)","1. Hikes at senior levels (level 8 & above) are very minimal. 
2. this company has removed bell curve comparison. But that is just namesake. You will still be compared with your peers.
3. If you are a new joinee in this company, you will get minimum hike for at least 2 years, irrespective of your performance. They give strange reason for that. They say you have already got decent hike when you joined and now we need to bring our existing employees at your compensation level.
4. Promotions at senior level are very tough. They are mostly dependent on your relations with your Managers, your negotiation skills, number of years you spent in this company . Performance is the last parameter considered for promotions in my opinion.
5. Entry in this company is easy. Survival is tough. Your actual struggle starts after you join this company. You should have good network within this company to get good projects. Otherwise you will land up in a project which will screw you completely.",6,Full-Time
729,Good,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,good to start your career,"Bench , more support project",4,Full-Time
730,this company review,Recommends,Neutral Outlook,I have been working at this company full-time for more than 8 years,Great company. Good values. Client centric.,Management not so good. Manager/Senior manager is the boss.,9,Full-Time
731,Great company slowly wasted by Indian execs from Infosys having bad work culture ethics,Recommends,No Opinion of CEO,I have been working at this company full-time for more than 10 years,"Good paymaster, focusses on process, global paymaster.","Less onsite, was great before 2010, now its getting similar to other Indian companies with not so great work culture due to execs from infosys etc. who just focus on profits and own benefits and not the employees. Also the performance process updated is and will be the worst thing for employees, gives all power to managers. So you can guess only benefitting are people ""close"" to the managers, thats the bottom line.",12,Full-Time
732,One of the best consulting companies in the world is losing its charm.,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"1. One of the best consulting companies in the world
2. Diamond partner for top & fortune 500 companies 
3. World class training material
4. Focus on Automation & Innovation
5. Focus on upskilling of employees by providing free trainings and professional certifications to employees.
6.Reservation for women in promotions
7.Loads of travel opportunities (depending on projects)","1. Hikes at senior levels (level 8 & above) are very minimal. 
2. this company has removed bell curve comparison. But that is just namesake. You will still be compared with your peers.
3. If you are a new joinee in this company, you will get minimum hike for at least 2 years, irrespective of your performance. They give strange reason for that. They say you have already got decent hike when you joined and now we need to bring our existing employees at your compensation level.
4. Promotions at senior level are very tough. They are mostly dependent on your relations with your Managers, your negotiation skills, number of years you spent in this company . Performance is the last parameter considered for promotions in my opinion.
5. Entry in this company is easy. Survival is tough. Your actual struggle starts after you join this company. You should have good network within this company to get good projects. Otherwise you will land up in a project which will screw you completely.",6,Full-Time
733,Mixed Bag,Recommends,Neutral Outlook,I worked at this company full-time for less than a year,"Learned a lot
Met some cool people","A lot of the learning is self taught
Long hours",1,Full-Time
734,Good Company,Recommends,Approves of CEO,I worked at this company full-time for more than 3 years,Good Projects and Brand value across globe,Nothing much to say and overall good experience,4,Full-Time
735,Good,Recommends,Disapproves of CEO,I worked at this company full-time for more than 3 years,"Good projects, onshore opportunities , Flexible and safe place for women",Management is not that great,4,Full-Time
736,good,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,its nice working enviroemet and salary is also good,"managars are not good , they do not freindly",4,Full-Time
737,Good company to work,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"* Work life balance
* Lots of learning opportunities
* Good exposure to technologies","* Growth based on project
* Less development(coding) opportunities for freshers",4,Full-Time
738,Good place to work,Recommends,Neutral Outlook,I worked at this company full-time for less than a year,Work is interesting and enables us to learn more,Time constraints and pressures from management.,1,Full-Time
739,Awesome Place,Positive Outlook,Positive Outlook,I have been working at this company full-time,Awesome Place. The culture is great,Can be very daunting in terms of hours of work,5,Full-Time
740,Not good for package below 5,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than 5 years,If u r a fresher avoid joining here if u r experienced and not worried about salary hike or promotion u can join here,Examination for TL after struggling for 4 years and gets rejected just because this,6,Full-Time
741,Instructional Design Specialist,Recommends,Approves of CEO,I worked at this company full-time for more than 3 years,"Great place to work, very good HR policies and benefits.",Work life balance depends on the team you are in,4,Full-Time
742,Excellent Work culture and job rotation,Recommends,Positive Outlook,I have been working at this company full-time for more than 8 years,"Work life balance, Job rotation, access to best training materials",Can think of any negatives so far,9,Full-Time
743,Straight out of College this is my first company and its the best I could ever get,Recommends,Positive Outlook,I worked at this company full-time,As a developer I have learnt different technology .,Lots of work pressure and they make us to stay late nights,4,Full-Time
744,Work life balance,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work life balance is good,People are from different place,6,Full-Time
745,Excellent benefits for employees,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Great peer and senior support,Dysfunctional distribution of practice and project work,2,Full-Time
746,Good work place,Recommends,Positive Outlook,I worked at this company full-time,"Environment, women safety , flexible timing","Internal politics, low salary, over work",4,Full-Time
747,Good work life balance,Recommends,Negative Outlook,I worked at this company full-time for more than 3 years,Good Work Life balance and helpful team members,Salary Hike while staying in the company is very minimal and employees were forced to resign giving false justifications during Pandemic in India,4,Full-Time
748,Review,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"good environment especially for girls,
Friendly team members, good facility","Sometimes work pressure , hike and VB is depends on supervisors.",4,Full-Time
749,Happy to work in this company,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,Lot of scope to learn new technologies along with work,Management should interact with team,4,Full-Time
750,Good,Recommends,No Opinion of CEO,I have been working at this company full-time,Good company to work for experienced people,No cons about this company,5,Full-Time
751,If you want a work life balance don't join. If you are looking to learn and get updates on all top technicalities join.,Doesn't Recommend,Neutral Outlook,I worked at this company full-time for more than a year,"Advanced technological experience 
Great place to learn 
You will never get bored if you are a workaholic","The mid management are nothing but a bunch of bullies 
Culture of the organization is more top down approach where managers are given maximum authority and can do anything 
Respect for fellow associates and dignity of labor is low
Everyone is treated and communicated with based on levels 
Stringent office timings less room for flexibility",2,Full-Time
752,Great company to work,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,Good work life balance. Good exposure to new technologies.,Hr could improve little more.,1,Full-Time
753,Good,Positive Outlook,Neutral Outlook,I have been working at this company full-time,Good work life balance and culture,No real cons as of now. Typical service based company,5,Full-Time
754,Review,Recommends,Positive Outlook,I have been working at this company full-time,Very professional and process oriented company,Reporting manager has maximum rights,5,Full-Time
755,Great place to work in,Recommends,Positive Outlook,I have been working at this company full-time,"Growth opportunities, recognition, work culture",Extra working hours without overtime being paid,5,Full-Time
756,Technology division is not good for career development,Recommends,Positive Outlook,I have been working at this company full-time,Technology division has good work life balance,Technology division is not good for career development,5,Full-Time
757,Good org to start your career with,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Good management when I was there. Work Life balance depends on the project. 9 hours of work is not compulsory.
Very Good culture and values, inclusion of diversity.
They give equal opportunities to women and support LGBTQ+ people.
Give paternity leaves to Men.
Share your sick leaves to your colleages","Since it is a service company, salaries vary for each person.
And depending on the projects, some are required to work on shifts or move to client location.",4,Full-Time
758,Good,Approves of CEO,Approves of CEO,I have been working at this company full-time,Good work life balance and culture,No real cons as of now. Typical service based company,5,Full-Time
759,Great place to work in,No Opinion of CEO,Neutral Outlook,I have been working at this company full-time,"Growth opportunities, recognition, work culture",Extra working hours without overtime being paid,5,Full-Time
760,Review,Recommends,Positive Outlook,I have been working at this company full-time,Very professional and process oriented company,Reporting manager has maximum rights,5,Full-Time
761,Technology division is not good for career development,Recommends,Positive Outlook,I have been working at this company full-time,Technology division has good work life balance,Technology division is not good for career development,5,Full-Time
762,Good org to start your career with,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Good management when I was there. Work Life balance depends on the project. 9 hours of work is not compulsory.
Very Good culture and values, inclusion of diversity.
They give equal opportunities to women and support LGBTQ+ people.
Give paternity leaves to Men.
Share your sick leaves to your colleages","Since it is a service company, salaries vary for each person.
And depending on the projects, some are required to work on shifts or move to client location.",4,Full-Time
763,Worst Work Culture!,Doesn't Recommend,Disapproves of CEO,I worked at this company full-time for more than a year,There are many projects to be worked on,"Salary, work culture, managers are not listening to your viewpoints",2,Full-Time
764,A mid level IT company,Recommends,Neutral Outlook,I have been working at this company full-time,"Decent pay, work from home",Service based company so not much scope for advancement of career,5,Full-Time
765,Nice company culture,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Less internal politics.
Nice work culture","Hiring process is worst.
Nothing else as such.",2,Full-Time
766,Awesome,Recommends,Approves of CEO,I worked at this company full-time for more than 3 years,I never had bad experience,It is really awesome to work with this company,4,Full-Time
767,Job,Recommends,Approves of CEO,I worked at this company full-time for more than 5 years,"Good infrastructure, Salary , flexible
Upskil
Project management",No cons if you are hard working,6,Full-Time
768,Process oriented Company,Recommends,Positive Outlook,I worked at this company full-time,"- Better opportunity
- Exposure and personal development
- Recognition",#NAME?,4,Full-Time
769,Good company,Disapproves of CEO,Positive Outlook,I have been working at this company full-time for less than a year,"Nice office, good colleagues, co working space","Long hours
Management sometimes gets out of hand",1,Full-Time
770,Nothing,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,Good salary as a fresher as compared to others.,Nothing such as i have experienced yet.,1,Full-Time
771,Nice company,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Best pro of the company is support you get from higher management .
You get to work on cutting edge technologies and awarded based on your performance.
Best part is you dont have a compulsory 9 hrs .",Perfect company no cons as such,4,Full-Time
772,Awesome place to work. Employee satisfaction,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Best place to work. Equal growth opportunity,Best place to work . Nothing needs improvement,2,Full-Time
773,Nice Place to work,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Work life balance, fun at work",Hiring process should have to improve,2,Full-Time
774,Good company,Recommends,Neutral Outlook,I have been working at this company full-time for more than a year,Good work culture in company,Very long working hours than other companies,2,Full-Time
775,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Good Company and Great Work Environment,I don't think there any cons,2,Full-Time
776,Good company to work and change service lines,No Opinion of CEO,Disapproves of CEO,I worked at this company full-time for more than a year,good pay and learning oppurtunities,not much exposure in kolkata,2,Full-Time
777,Its a good opportunity for anyone,Recommends,Disapproves of CEO,I have been working at this company full-time for more than a year,Have good opportunity who tend to learn,More working hours and less holidays,2,Full-Time
778,Nice Place to work,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Work life balance, fun at work",Hiring process should have to improve,2,Full-Time
779,Good company,Recommends,Neutral Outlook,I have been working at this company full-time for more than a year,Good work culture in company,Very long working hours than other companies,2,Full-Time
780,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Good Company and Great Work Environment,I don't think there any cons,2,Full-Time
781,Good company to work and change service lines,Doesn't Recommend,Positive Outlook,I worked at this company full-time for more than a year,good pay and learning oppurtunities,not much exposure in kolkata,2,Full-Time
782,Its a good opportunity for anyone,Recommends,Neutral Outlook,I have been working at this company full-time for more than a year,Have good opportunity who tend to learn,More working hours and less holidays,2,Full-Time
783,Great,Disapproves of CEO,Positive Outlook,I have been working at this company full-time,Good people are always rewarded,Very heavy workload and culture,5,Full-Time
784,Amazing Work Culture,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Salary, work - life balance.",unpredictable nature of business in operations.,4,Full-Time
785,Developer,Neutral Outlook,Approves of CEO,I have been working at this company full-time,Everything is good as part of career growth,Not applicable as part of cons,5,Full-Time
786,Learning & Skill enrichment,Recommends,Positive Outlook,I have been working at this company full-time,Abudant opportunities for learning and upskilling.,Nothing that can be mentioned.,5,Full-Time
787,Good Company,Recommends,Neutral Outlook,I have been working at this company full-time,Good work life balance and can work on latest technologies,"Variable pay is 20% which is based on your rating and your chargebility as well.
If you get default rating it will max 50% of the VP you receive",5,Full-Time
788,AVG Company,No Opinion of CEO,Disapproves of CEO,I have been working at this company full-time,"Good culture, professional environment, good","Bad canteen, infra is not good",5,Full-Time
789,AVG Company,Recommends,Negative Outlook,I worked at this company full-time for less than a year,"Good Infra, Facility, Cafeteria, Transportation, Projects",Nothing to mention as of now,1,Full-Time
790,3.5/5,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good for freshers and beginners.,Slow growth after you reach middle management.,2,Full-Time
791,Good company to start  career.,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"the learning environment, training, timely hike.","internal management, project politics, skill change",2,Full-Time
792,Project,Neutral Outlook,Negative Outlook,I have been working at this company full-time for more than a year,this company company is good. In Terms of hike they are one of the best company.,If Some junior raise the voice then there is no one in this company to listen. Manager will only listen but not help so issue never resolve and finally you have to search way to fix your issue.,2,Full-Time
793,Good company,Recommends,Positive Outlook,I have been working at this company full-time,Nice work culture and get good hike,10 hours work is not acceptable,5,Full-Time
794,Excellent,Positive Outlook,Approves of CEO,I have been working at this company full-time,Excellent work environment and work culture,Could not find any think for cons,5,Full-Time
795,Very Good co with good work life balance,Recommends,Positive Outlook,I have been working at this company full-time,"You will get good work life balance, employee friendly, learn newer technologies. Good for married women.",Not so good increment and promotions.,5,Full-Time
796,Domestic this company,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Salary and promotion is good,Work culture and work life is not at all good in this company domestic,2,Full-Time
797,It's a great company to kickstart your career,Neutral Outlook,Positive Outlook,I have been working at this company full-time,good work culture and working environment.,I don't know about any.,5,Full-Time
798,Headquarters of Regional Politics,Doesn't Recommend,No Opinion of CEO,I worked at this company full-time for more than a year,Infrastructure is good. Some teams are really good,"Headquarters of Regional politics, You're not supposed to have a personal life. you should be available 24X7 for work",2,Full-Time
799,Data Consultant,Recommends,Negative Outlook,I have been working at this company full-time,"More Employee Benefits
Multiple projects
Many SAP Migration Project","Poor Resource allocation in the project
Drastic difference in Variable Pay % in Offer letter and Actual pay out
Project Manager will never care about employee struggle",5,Full-Time
800,good,Recommends,Neutral Outlook,I have been working at this company full-time for more than a year,good platform to learn as fresher,long work hours per day,2,Full-Time
801,this company is no more top Global MNC that it used to be some 8/9 years back.,Doesn't Recommend,Neutral Outlook,I worked at this company full-time for more than 10 years,"Large company with all kind of technology and Projects, so the chances of you getting your dream project is very high.","Horrible Leadership, no Transparency and no carrier. Not good for High performers. It suits people who can butter and always be on ""Yes"" mode to please his/her supervisor.",12,Full-Time
802,Excellent,Approves of CEO,Disapproves of CEO,I have been working at this company full-time,Everything is good . Got good opportunities to learn.,I did not see any cons,5,Full-Time
803,Good Place provided you get a good project,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"Variable Bonuses 
Work culture 
Upto the mark Training",Annual hikes are all average,2,Full-Time
804,I had a great TL so everything was smooth,Recommends,Positive Outlook,I worked at this company full-time,Good Work culture. It all depends on the team managers and TL.,You've to find your way to grow. No one else will come. Although they'll help if you ask.,4,Full-Time
805,Very good compass,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good company for freshers and experienced,Nothing to mentione in cons,2,Full-Time
806,Good Company,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work and life balance is good,No cons at this time,6,Full-Time
807,Okok,Recommends,Positive Outlook,I worked at this company full-time for less than a year,"Ok company , work life balance","Less pay, office politics, favoratism by managers",1,Full-Time
808,I had a great TL so everything was smooth,Recommends,Positive Outlook,I worked at this company full-time,Good Work culture. It all depends on the team managers and TL.,You've to find your way to grow. No one else will come. Although they'll help if you ask.,4,Full-Time
809,Very good compass,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good company for freshers and experienced,Nothing to mentione in cons,2,Full-Time
810,Good Company,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Work and life balance is good,No cons at this time,6,Full-Time
811,Okok,Recommends,Positive Outlook,I worked at this company full-time for less than a year,"Ok company , work life balance","Less pay, office politics, favoratism by managers",1,Full-Time
812,Good,Approves of CEO,Negative Outlook,I have been working at this company full-time,Good Work Culture and work environment,Will have to travel for work purpose,5,Full-Time
813,Enjoyed working,Recommends,Neutral Outlook,I worked at this company full-time for more than 3 years,Flexibility Freedom Culture Management Fun,Learning Limited growth Too many restrictions,4,Full-Time
814,very nice company i like it,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than 3 years,too many pros to count,cant think of any con at all,4,Full-Time
815,Best place to work,Recommends,Approves of CEO,I have been working at this company full-time for more than 3 years,Benefits and employee recognition for their hardwork,I do not yet see any disadvantages.,4,Full-Time
816,Good,Doesn't Recommend,Negative Outlook,I worked at this company full-time,Good hike in per year,Bench stay lesser than other,4,Full-Time
817,good company,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,all are good about this company,all are best in this company,4,Full-Time
818,Good,Recommends,Positive Outlook,I have been working at this company full-time,Good company to work for,Low hikes in the firm,5,Full-Time
819,EXcellent,Recommends,Positive Outlook,I have been working at this company full-time,Excellent Good work environment and culture,No cons here. All good,5,Full-Time
820,Best Company to start your career with.,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,Great place to learn with proper hike provided.,Depend on project you are working if they have not good budget then its difficult to get a good growth in salary and learning both.,4,Full-Time
821,Opportunities and appreciation keeps you going,Recommends,Approves of CEO,I have been working at this company full-time for more than 5 years,It gives you enough opportunity and challenging task to groom yourself with good appreciation.,"In India, few people get stuck with people's politics.",6,Full-Time
822,good company to work,Positive Outlook,Neutral Outlook,I have been working at this company full-time for more than 5 years,"flexible Timing, WFH, flexible Timing, WFH","No Cons, flexible Timing, WFH",6,Full-Time
